Institution,Web pages
Arizona State University,https://provost.asu.edu/committees/ombudspersons-committee
University of California Berkeley,"https://sa.berkeley.edu/Ombuds/, https://staffombuds.berkeley.edu"
University of California Los Angeles,http://www.ombuds.ucla.edu
University of Cambridge,"https://www.studentcomplaints.admin.cam.ac.uk, https://www.academic.admin.cam.ac.uk/education/student-operations/office-student-conduct-complaints-and-appeals-oscca"
Massachusetts Institute of Technology,https://ombudsoffice.mit.edu
McGill University,https://www.mcgill.ca/ombudsperson/
National Radio Astronomy Observatory,https://info.nrao.edu/hr/ombuds/whombuds
Queen Mary University London,http://www.arcs.qmul.ac.uk/students/student-appeals/
University of Pennsylvania,
Scuola Normale Superiore di Pisa,
South African Radio Astronomy Observatory,
University of Washington,
University of Western Cape,
University of KwaZulu Natal,
Cal Poly Pomona,